"TimeGenerated [UTC]",DeviceName,FileName,SHA256,FolderPath,InitiatingProcessFileName,InitiatingProcessFolderPath,InitiatingProcessParentFileName,ProcessCommandLine,InitiatingProcessSHA256
"4/9/2025, 7:21:50.661 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",dash,4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483,"/usr/bin/dash",dash,"/usr/bin/dash","gc_worker",,4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483
"4/9/2025, 7:21:50.747 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",dash,4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483,"/usr/bin/dash",dash,"/usr/bin/dash",dash,,4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483
"4/9/2025, 7:21:50.764 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",bash,59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4,"/usr/bin/bash",bash,"/usr/bin/bash",dash,,59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4
"4/9/2025, 7:21:50.765 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",bash,59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4,"/usr/bin/bash",bash,"/usr/bin/bash",dash,,59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4
"4/9/2025, 7:23:23.548 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",dash,4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483,"/usr/bin/dash",dash,"/usr/bin/dash","gc_worker","sh -c ""sh -c /var/lib/waagent/Microsoft.GuestConfiguration.ConfigurationforLinux-1.26.85/GCAgent/GC/../GC/powershell_check_supported_os.sh 2>&1 2>&1""",4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483
"4/9/2025, 7:23:23.549 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",dash,4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483,"/usr/bin/dash",dash,"/usr/bin/dash",dash,"sh -c /var/lib/waagent/Microsoft.GuestConfiguration.ConfigurationforLinux-1.26.85/GCAgent/GC/../GC/powershell_check_supported_os.sh",4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483
"4/9/2025, 7:23:23.550 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",dash,4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483,"/usr/bin/dash",dash,"/usr/bin/dash",dash,"sh -c /var/lib/waagent/Microsoft.GuestConfiguration.ConfigurationforLinux-1.26.85/GCAgent/GC/../GC/powershell_check_supported_os.sh",4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483
"4/9/2025, 7:23:23.551 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",bash,59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4,"/usr/bin/bash",dash,"/usr/bin/dash",dash,"/bin/bash /var/lib/waagent/Microsoft.GuestConfiguration.ConfigurationforLinux-1.26.85/GCAgent/GC/../GC/powershell_check_supported_os.sh",4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483
"4/9/2025, 7:23:23.553 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",bash,59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4,"/usr/bin/bash",bash,"/usr/bin/bash",dash,"/bin/bash /var/lib/waagent/Microsoft.GuestConfiguration.ConfigurationforLinux-1.26.85/GCAgent/GC/../GC/powershell_check_supported_os.sh",59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4
"4/9/2025, 7:23:23.646 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",cat,,,bash,"/usr/bin/bash",bash,,59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4
"4/9/2025, 7:23:23.649 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",bash,59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4,"/usr/bin/bash",bash,"/usr/bin/bash",dash,"/bin/bash /var/lib/waagent/Microsoft.GuestConfiguration.ConfigurationforLinux-1.26.85/GCAgent/GC/../GC/powershell_check_supported_os.sh",59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4
"4/9/2025, 7:23:23.650 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",bash,59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4,"/usr/bin/bash",bash,"/usr/bin/bash",bash,"/bin/bash /var/lib/waagent/Microsoft.GuestConfiguration.ConfigurationforLinux-1.26.85/GCAgent/GC/../GC/powershell_check_supported_os.sh",59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4
"4/9/2025, 7:23:23.651 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",bash,59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4,"/usr/bin/bash",bash,"/usr/bin/bash",bash,"/bin/bash /var/lib/waagent/Microsoft.GuestConfiguration.ConfigurationforLinux-1.26.85/GCAgent/GC/../GC/powershell_check_supported_os.sh",59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4
"4/9/2025, 7:23:23.651 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",bash,59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4,"/usr/bin/bash",bash,"/usr/bin/bash",bash,"/bin/bash /var/lib/waagent/Microsoft.GuestConfiguration.ConfigurationforLinux-1.26.85/GCAgent/GC/../GC/powershell_check_supported_os.sh",59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4
"4/9/2025, 7:23:23.652 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",sort,0fc26ce295e8e549635da2129e389f63685745b3be7c1737db6251a296f1cd78,"/usr/bin/sort",bash,"/usr/bin/bash",bash,"sort -V",59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4
"4/9/2025, 7:23:23.653 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",head,9e457645cdcfd74ee0a9688b25b7b017d8d393233a0c0bdf3bef3c57a1238ce2,"/usr/bin/head",bash,"/usr/bin/bash",bash,"head -n1",59474588a312b6b6e73e5a42a59bf71e62b55416b6c9d5e4a6e1c630c2a9ecd4
"4/9/2025, 7:34:22.187 PM","linuxremediation.p2zfvso05mlezjev3ck4vqd3kd.cx.internal.cloudapp.net",dash,4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483,"/usr/bin/dash",dash,"/usr/bin/dash","gc_linux_service","sh -c ""sh -c /var/lib/waagent/Microsoft.GuestConfiguration.ConfigurationforLinux-1.26.85/GCAgent/GC/../GC/powershell_check_supported_os.sh 2>&1 2>&1""",4f291296e89b784cd35479fca606f228126e3641f5bcaee68dee36583d7c9483
